sigma,rank,ave. train error,ave. test error,ave. num for both train and test
2.2122162910704493,50,0.19951583133069445,1.1274879039068133,4.25
2.2122162910704493,60,0.1961909745792613,1.3570784612281308,3.0
2.2122162910704493,70,0.15830542841131945,1.263843847268052,11.75
2.2122162910704493,80,0.19144637482202997,1.933575682458707,12.5
2.2122162910704493,90,0.14919387808607193,2.2662480449433575,14.0
2.2122162910704493,100,0.13178326507667648,2.3209377526150807,16.75
2.2122162910704493,110,0.12476165614723961,2.0270968723665366,18.0
2.2122162910704493,120,0.10170850143776886,4.031041475567223,12.5
2.2122162910704493,130,0.06770768742125209,2.868183118776848,10.75
2.2122162910704493,140,0.0613384815243216,3.1339482380177204,18.5
2.3950266199874855,40,0.25598137486665573,0.8687219587474487,4.25
2.3950266199874855,50,0.2440277022423773,0.9235053024056028,7.25
2.3950266199874855,60,0.1514446821089073,1.6006724556725846,7.5
2.3950266199874855,70,0.1532403595506225,1.6163971666576669,11.25
2.3950266199874855,80,0.15573189405115664,1.8730021314553533,11.75
2.3950266199874855,90,0.1410384520379969,1.9621542476053442,13.25
2.3950266199874855,100,0.14272512371973622,2.7022268292734073,14.5
2.3950266199874855,110,0.11728773354620953,2.7660647976583785,12.0
2.3950266199874855,120,0.11451558143340503,2.6636200272514627,19.25
2.3950266199874855,130,0.07007712851053617,3.5548736042598863,19.0
2.3950266199874855,140,0.07530681009994973,3.5936207646416034,20.0
2.592943797404667,40,0.2246867915057025,1.108569708690858,2.75
2.592943797404667,50,0.19047194752670116,1.579985007797341,5.5
2.592943797404667,60,0.14232442647403057,1.571244992894818,10.25
2.592943797404667,70,0.16522419127929971,1.622047869960057,11.75
2.592943797404667,80,0.1366368020826642,1.7978333427522322,13.75
2.592943797404667,90,0.1434151370519191,1.9552459731806646,8.5
2.592943797404667,100,0.10578307779480092,2.7938228329256853,13.75
2.592943797404667,110,0.12117735497001308,3.074554579763342,14.5
2.592943797404667,120,0.13038027412520856,2.737160630069823,22.75
2.592943797404667,130,0.09581072069887692,3.471192348008869,17.75
2.592943797404667,140,0.04861051051696769,4.86816275611194,8.75
2.807216203941177,40,0.21460000672269275,0.7844100506850537,4.0
2.807216203941177,50,0.1650075962080776,0.8846279567632815,7.75
2.807216203941177,60,0.12735482980855922,1.0844968022906754,7.25
2.807216203941177,70,0.18303421239419856,1.5221197721629924,15.75
2.807216203941177,80,0.12960632567893673,1.318131489526327,13.25
2.807216203941177,90,0.1331372187834991,2.264139387994877,17.5
2.807216203941177,100,0.12846741791292665,2.387335228443609,15.75
2.807216203941177,110,0.14394948735440666,2.6127708059612904,21.25
2.807216203941177,120,0.08770300708191442,3.397591665497247,16.75
2.807216203941177,130,0.07281642063694303,3.719776935523024,17.25
2.807216203941177,140,0.06968264187739143,3.4083976966922838,22.5
3.039195382313197,40,0.1971914406076656,1.0010875258285834,2.75
3.039195382313197,50,0.19675187115514992,0.9519490990083646,6.25
3.039195382313197,60,0.13683384233668777,1.2147182644761698,6.75
3.039195382313197,70,0.15368976340682597,1.3770652204364628,11.25
3.039195382313197,80,0.10920634000915844,1.6555776988721167,13.25
3.039195382313197,90,0.17757062299669207,2.350576578386235,17.0
3.039195382313197,100,0.08996769268617036,3.2767258061733786,9.75
3.039195382313197,110,0.1194439281319016,3.130222750775775,15.75
3.039195382313197,120,0.07148194752068533,3.653524360718583,13.25
3.039195382313197,130,0.05513108115596444,4.010965709808998,15.75
3.039195382313197,140,0.05127128448806555,3.209344540148096,21.75
3.2903445623126686,40,0.19407719629042822,1.1710292824475137,3.75
3.2903445623126686,50,0.1776980309221952,1.1423054166079845,7.25
3.2903445623126686,60,0.13659004726911403,1.393064823096188,6.25
3.2903445623126686,70,0.13022607972268363,1.7974346206187781,9.0
3.2903445623126686,80,0.11730630135064905,1.9527136067879451,14.5
