sigma,rank,ave. train error,ave. test error,ave. num for both train and test
0.1,34,1.1626510794498657,1.2419088822393554,0.0
0.1,50,1.1304506508075183,1.244126493755539,0.0
0.1,70,1.0741790257531925,1.193658604790106,0.0
0.22531645569620254,34,0.4275160890504709,0.44852621341895443,0.0
0.22531645569620254,50,0.3268204457730533,0.34759934766780887,0.0
0.22531645569620254,70,0.22438786992893686,0.24256793273515964,2.25
0.35063291139240504,34,0.16515767598496753,0.1747443051369504,2.0
0.35063291139240504,50,0.10381295447560196,0.11043497118570575,10.75
0.35063291139240504,70,0.06151172158116993,0.0671754643502849,34.25
0.4759493670886076,34,0.08626065286974391,0.08925028752662367,7.5
0.4759493670886076,50,0.04572416208913223,0.04963882134532755,29.25
0.4759493670886076,70,0.023756668628078386,0.026153578620646364,58.25
0.6012658227848101,34,0.05025751025050597,0.05263658543140823,17.5
0.6012658227848101,50,0.02214740470686696,0.023947353523396532,42.75
0.6012658227848101,70,0.011925251195957009,0.01311847571458718,65.5
0.7265822784810126,34,0.033504845350290746,0.03505086576589166,25.5
0.7265822784810126,50,0.01645822389261758,0.01752728079415721,46.5
0.7265822784810126,70,0.007227886887578113,0.008098504310625523,69.0
0.8518987341772152,34,0.022965881340439833,0.024016450669583737,31.5
0.8518987341772152,50,0.010696267827329749,0.011828384171636425,49.0
0.8518987341772152,70,0.00515038050714889,0.005798526040768404,70.0
0.9772151898734177,34,0.01688044475041374,0.017679597427591114,33.0
0.9772151898734177,50,0.008990189730705603,0.0097550602610062,49.5
0.9772151898734177,70,0.0043904282766584575,0.004891668107345044,64.0
1.1025316455696204,34,0.013406226356823791,0.013867163688718102,33.25
1.1025316455696204,50,0.007577041941597355,0.008198019195337813,50.0
1.1025316455696204,70,0.005602385578462702,0.0063502715071031765,58.0
1.2278481012658229,34,0.011818656677178373,0.012250406919033946,33.5
1.2278481012658229,50,0.00714410961638217,0.008107652216188442,49.5
1.2278481012658229,70,0.00420005170351306,0.004747857082707015,53.0
1.3531645569620254,34,0.011277725947790649,0.011946049509334027,32.75
1.3531645569620254,50,0.006334304757061284,0.006765986038073555,49.75
1.3531645569620254,70,0.005370964442486286,0.0058009785363886315,50.75
1.478481012658228,34,0.010973574227841731,0.011811016508567692,32.75
1.478481012658228,50,0.005998832304657688,0.006399425193730299,43.0
1.478481012658228,70,0.006120761890258576,0.0065067012555154735,43.0
1.6037974683544305,34,0.01004914828560911,0.01101571014890533,33.25
1.6037974683544305,50,0.006505044132674941,0.007081160889848461,43.0
1.6037974683544305,70,0.006529595487824724,0.006971513288641053,43.0
1.729113924050633,34,0.00991774452136234,0.0105327526456644,33.5
1.729113924050633,50,0.00876380687834227,0.00921653809710361,39.75
1.729113924050633,70,0.008444818307496108,0.009316898706227294,40.25
1.8544303797468356,34,0.010071715273106675,0.010668840389081367,33.25
1.8544303797468356,50,0.01176311850590173,0.0122060118614435,36.25
1.8544303797468356,70,0.010948212686011928,0.011528475004916647,38.0
1.979746835443038,34,0.010374389962736225,0.01100108495778386,32.75
1.979746835443038,50,0.00913106463173155,0.009742357422885683,36.0
1.979746835443038,70,0.009091989696480117,0.009474239478095739,36.0
2.1050632911392406,34,0.01042176676037292,0.010950519639945071,33.75
2.1050632911392406,50,0.009857987344020974,0.010340983617040085,33.5
2.1050632911392406,70,0.009933056856493837,0.010468410707219213,33.5
2.230379746835443,34,0.009706554459086535,0.010264547453395039,33.5
2.230379746835443,50,0.010041610464397272,0.010567254003997417,33.5
2.230379746835443,70,0.00986714658798147,0.01045498032217053,33.75
2.3556962025316457,34,0.010117679465406005,0.01079080188655652,33.25
2.3556962025316457,50,0.009731689307164816,0.010973598840795708,32.25
2.3556962025316457,70,0.009785680706692352,0.010309956062504108,33.5
2.4810126582278484,34,0.015302344200641887,0.01601105405293044,29.5
2.4810126582278484,50,0.01812095047487507,0.019452274375374355,28.25
2.4810126582278484,70,0.014749682712634393,0.015764781400385015,29.75
2.6063291139240508,34,0.015895836551702656,0.016526444977061086,29.75
2.6063291139240508,50,0.015658210858722307,0.01670110280303551,30.25
